"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000090520",2177.35677777981,0.521789584157831,0.244954536386836,0.018152729195825,0.0395237974098235
"ENSG00000251630",2.86068033256582,-2.80211731913381,2.39706490698035,0.0181535370541804,0.0395237974098235
"ENSG00000111328",4317.81163033863,0.345060674212873,0.152484282236229,0.0181584011235708,0.0395307524276191
"ENSG00000130812",11.0650542882628,-2.0216438792638,1.62017817683415,0.0181668721496666,0.0395455577721481
"ENSG00000106479",601.801709647845,-0.747454925232719,0.387466308129745,0.0181879427822009,0.0395877846345074
"ENSG00000254004",764.662180596955,-0.404030154369522,0.181763451241709,0.0181948731988009,0.03959922904017
"ENSG00000053438",36.0068167520463,1.02142336481458,0.607457603984911,0.0182118802499519,0.0396289576948913
"ENSG00000204387",1866.16004183366,0.587740711156821,0.283736624980613,0.0182102389728979,0.0396289576948913
"ENSG00000237238",99.1148404174365,0.684311963465048,0.344741179650238,0.0182222201693586,0.0396478135407006
"ENSG00000162373",5.70040248955202,-3.11768168304981,2.76685050113033,0.018229547589174,0.0396601119423756
"ENSG00000167863",3790.97254653033,-0.292848001383935,0.127865143364953,0.0182508088225563,0.0397027196335598
"ENSG00000107833",2042.31455496291,0.502224701873684,0.234192548004171,0.018252646680862,0.0397030698633688
"ENSG00000228140",2.96747449193084,2.69706693517311,2.29135165264652,0.0182646798652194,0.039721945914283
"ENSG00000164756",2.96747449193084,2.69706693517311,2.29135165264652,0.0182646798652194,0.039721945914283
"ENSG00000259630",6.18241511309567,-1.71673740879744,1.31958120243037,0.0182978363854267,0.0397903997150761
"ENSG00000237949",5.96596933434993,-3.1288950074582,2.78597742714875,0.018301589807293,0.0397949069581483
"ENSG00000214940",374.02732419804,-0.706886793103462,0.360339278892111,0.0183525396133942,0.0399020275873586
"ENSG00000226746",4.75117966227968,-2.25336828038084,1.85226631206925,0.0183680628405478,0.0399321112731292
"ENSG00000120664",3.17301752625573,2.7308159801261,2.33135973585217,0.0183775881855034,0.0399491512548811
"ENSG00000186994",32.3385245696377,-0.84765265371338,0.462303890318913,0.0183975624384083,0.0399888998305512
"ENSG00000203817",188.689156218744,-0.740808042249819,0.383862526947378,0.0184097437468112,0.0400117039373278
"ENSG00000164066",377.73808750123,-0.387436463160227,0.173756783500492,0.0184175343034359,0.0400249618818221
"ENSG00000163512",751.86363251408,0.678582199759135,0.341774671150837,0.0184258558427579,0.0400393712177845
"ENSG00000162882",3.95905617174159,2.42851101979314,2.02645475580385,0.0184325525807321,0.0400502475409741
"ENSG00000255867",95.850825970988,-0.640232615823613,0.317049673919999,0.0184478201585729,0.0400797428789256
"ENSG00000096384",54247.9998752952,0.495885706471166,0.231149640257194,0.0184578008437311,0.0400977475527133
"ENSG00000139410",525.565098700848,-0.576364513225729,0.277669265228397,0.0184671115635748,0.0401142936230056
