"ENSEMBL","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000175274",982.192028442852,1.38047543795558,0.383622436525558,3.19253054944091e-05,0.000119774276373178
"ENSG00000183666",215.798833430619,-1.12859789104188,0.304289424017301,3.20180074141364e-05,0.000120103035732653
"ENSG00000134444",1128.01011776635,0.586857797898801,0.147248782159098,3.21139594213233e-05,0.000120424804754304
"ENSG00000144724",712.897629577107,1.01428514021714,0.269862330283376,3.21310967525637e-05,0.000120469988568559
"ENSG00000204860",118.030281389585,-1.09126527944434,0.293016587410266,3.21491959928741e-05,0.000120518764015719
"ENSG00000164649",1408.68534937821,0.910489440731971,0.239186524224355,3.21744395001224e-05,0.000120594301732531
"ENSG00000203724",37.4941866747159,-2.05762968432531,0.614520526194939,3.22229770366193e-05,0.000120757110999689
"ENSG00000226314",33.8912507645217,2.97664796925008,0.889253192178378,3.22568014137803e-05,0.000120864739210963
"ENSG00000101421",2598.85496832726,0.71990686007299,0.184279054994166,3.23269248472536e-05,0.000121108322722852
"ENSG00000249550",10.2383197892311,-6.1396213848512,1.68554582446375,3.24525838847382e-05,0.000121559852656058
"ENSG00000169439",86.5115264357824,-1.90958081730914,0.564401190852899,3.24664943065756e-05,0.000121592721559125
"ENSG00000089116",14.0284663766641,6.24059530367656,1.71600477204088,3.25975912939482e-05,0.000122064394918047
"ENSG00000224831",409.649298735884,-0.818211019170325,0.212618843269435,3.28644578690925e-05,0.000123024785607352
"ENSG00000102218",688.400348057409,0.773916288160648,0.199872065129657,3.28875845837755e-05,0.000123091896963334
"ENSG00000134184",503.715368020771,5.31307739796366,1.45898366050778,3.2962148748637e-05,0.000123351477148961
"ENSG00000141013",834.214407176533,-0.859277511872342,0.224632911420866,3.30840725373423e-05,0.000123788177222922
"ENSG00000135245",549.285815677329,-0.981162291050185,0.260598620260254,3.32555811441431e-05,0.00012441023775476
"ENSG00000116459",7987.43225598465,-0.630238056764412,0.15951800172169,3.34080817334703e-05,0.000124961003349664
"ENSG00000203813",44.6555469448795,-2.05525039800161,0.615693232786901,3.35163310505832e-05,0.000125343395065867
"ENSG00000065029",956.7831838051,-0.63172666540027,0.159962686243336,3.35209011934396e-05,0.000125343395065867
"ENSG00000136935",1248.51120346614,-0.716615510670381,0.183770979910675,3.35552829492765e-05,0.000125452145016583
"ENSG00000248685",9.63020417407195,-6.06419841551764,1.66884699437658,3.35859967670001e-05,0.00012554714958198
"ENSG00000116819",45.7534696754182,-1.82037845730314,0.535130272333758,3.36565801282444e-05,0.000125791136179391
"ENSG00000270372",7.8659951873658,-5.85390449970675,1.61073842871142,3.40692651211764e-05,0.000127313445434674
"ENSG00000213889",23.5890879270104,2.31780874645857,0.703125650186579,3.41838320681547e-05,0.000127701260946308
"ENSG00000174456",95.7236853222623,-1.19886916844686,0.327486584080111,3.42696305492378e-05,0.000128001584242673
"ENSG00000197813",22.1344687361557,-2.93163040520425,0.882098435184009,3.4339100349737e-05,0.000128240832646802
"ENSG00000272098",126.75771183153,1.39917571401022,0.391847114503837,3.43550976620642e-05,0.000128280341798564
"ENSG00000273203",47.8534574676832,-2.07378770889065,0.623225712204062,3.43609645262677e-05,0.000128282017831668
