gene_id,SRR2085160,SRR2085161,SRR2085162,SRR2085163,SRR2085164,SRR2085165
ENSG00000132879,523,693,631,1045,1023,956
ENSG00000162490,3,0,0,5,24,6
ENSG00000116663,125,122,120,331,544,333
ENSG00000116670,785,1109,1036,1236,1121,972
ENSG00000171824,2238,3718,3480,4469,3438,3998
ENSG00000198793,2268,4289,3868,4216,4245,4040
ENSG00000225602,3,0,0,0,0,0
ENSG00000253086,0,0,1,0,0,0
ENSG00000271794,0,0,0,0,0,0
ENSG00000171819,4,2,1,3,0,0
ENSG00000207451,0,0,0,0,0,0
ENSG00000238173,0,0,0,0,0,0
ENSG00000120942,1183,1565,1272,1302,890,1009
ENSG00000238199,0,7,6,0,0,0
ENSG00000116649,5197,6662,5854,6971,3374,4874
ENSG00000226849,118,98,77,37,75,53
ENSG00000230337,18,21,14,7,8,8
ENSG00000028137,3,18,3,2,0,0
ENSG00000263676,0,0,0,0,0,0
ENSG00000120949,11,20,15,5,0,6
ENSG00000201135,0,0,0,0,0,0
ENSG00000227875,0,0,0,0,0,0
ENSG00000179172,0,0,0,2,4,0
ENSG00000157330,9,0,4,0,0,0
ENSG00000162496,121,290,229,1439,956,1176
ENSG00000221340,0,0,0,2,0,0
ENSG00000048707,1487,3059,2504,2256,4704,2952
ENSG00000239149,1,8,11,5,7,9
ENSG00000116731,774,1643,1284,1435,1801,1535
ENSG00000228140,0,0,0,7,7,6
ENSG00000142621,23,45,12,14,3,11
ENSG00000236045,0,0,3,0,0,0
ENSG00000233485,8,0,3,0,0,0
ENSG00000142634,488,639,531,6698,4687,4762
ENSG00000177674,2764,3362,3321,2965,3230,2549
ENSG00000215910,0,11,10,0,0,2
ENSG00000177553,0,0,0,0,0,0
ENSG00000177000,915,1585,1540,625,1172,789
ENSG00000011021,458,840,856,890,1500,1267
ENSG00000175206,18,6,5,13,28,21
ENSG00000120937,0,0,0,0,0,0
ENSG00000224904,0,0,0,0,0,0
ENSG00000201801,0,4,4,0,0,0
ENSG00000083444,4228,6248,4649,6893,7576,6390
ENSG00000116688,5620,9056,9422,12740,8960,10288
ENSG00000270914,0,0,0,0,0,0
ENSG00000116691,612,1104,972,744,581,675
ENSG00000202461,0,2,2,0,2,1
ENSG00000242349,48,46,31,31,38,40
ENSG00000199347,8,2,7,3,2,2
ENSG00000116685,1791,2968,2144,2749,1589,2174
ENSG00000235084,4,8,5,10,6,4
ENSG00000189337,168,372,379,817,975,666
ENSG00000235829,0,0,0,0,0,0
ENSG00000175147,10,0,0,39,44,33
ENSG00000171729,87,111,118,991,781,864
ENSG00000204464,0,0,0,0,0,0
ENSG00000215720,0,0,0,0,0,0
ENSG00000162438,0,0,0,0,0,0
ENSG00000142615,0,0,0,0,0,0
ENSG00000215704,0,0,0,0,0,0
ENSG00000132906,242,371,313,234,330,216
ENSG00000116138,676,993,1013,1078,1123,947
ENSG00000272510,0,3,2,0,2,3
ENSG00000237301,0,0,0,2,2,3
ENSG00000251866,3,0,0,0,0,0
ENSG00000116771,6,2,2,351,148,213
ENSG00000197312,2597,4113,3637,2937,2980,2931
ENSG00000215695,2,5,5,5,7,7
ENSG00000224321,2,1,2,11,1,6
ENSG00000162458,59,93,24,8680,10532,9207
ENSG00000116786,911,1589,1454,3413,3575,3281
ENSG00000162461,34,41,35,29,28,31
ENSG00000224459,0,0,0,0,0,0
ENSG00000162460,0,0,0,0,0,0
ENSG00000264048,1,1,1,1,1,1
ENSG00000237938,2,11,10,0,23,18
ENSG00000233954,343,598,496,344,195,297
ENSG00000178715,4,6,5,7,7,3
ENSG00000185519,3,22,7,20,32,34
ENSG00000173641,0,0,3,7,0,8
ENSG00000186510,0,0,5,0,0,0
ENSG00000065526,1301,3103,2962,3897,5145,4718
ENSG00000238818,0,0,0,0,0,0
ENSG00000270620,0,0,0,0,0,0
ENSG00000179743,74,144,179,51,45,58
ENSG00000116809,325,792,534,838,900,626
ENSG00000234607,0,0,0,0,0,0
ENSG00000236698,37,63,42,85,52,78
ENSG00000268869,20,44,26,0,0,0
ENSG00000058453,244,661,417,636,682,677
ENSG00000227684,0,0,1,0,0,0
ENSG00000186715,11,18,17,0,50,7
ENSG00000223643,0,0,0,0,0,0
ENSG00000230239,0,0,0,0,0,0
ENSG00000263811,0,0,0,0,0,0
ENSG00000228549,6,25,9,0,0,0
ENSG00000238142,0,3,0,19,8,11
ENSG00000272426,0,0,0,0,0,0
ENSG00000207389,65,1,3,23,32,3
ENSG00000235241,2,0,0,7,16,10
ENSG00000207005,65,1,2,23,32,3
ENSG00000117122,0,0,0,1555,1646,1395
ENSG00000226526,0,0,4,2,4,5
ENSG00000159363,1130,2000,1648,4706,3718,3875
ENSG00000142627,189,219,189,11221,15118,8954
ENSG00000227959,0,5,0,13,20,38
ENSG00000224621,0,0,0,13,20,16
ENSG00000234166,0,0,0,0,0,0
ENSG00000237276,16,16,28,9,30,13
ENSG00000055070,3606,5423,5384,8381,5891,6377
ENSG00000226457,0,3,1,3,0,2
ENSG00000187144,0,0,0,0,7,2
ENSG00000157191,487,622,578,2908,2794,2480
ENSG00000080947,62,116,103,96,150,94
ENSG00000233421,1,3,0,0,0,0
ENSG00000268674,0,0,0,0,0,0
ENSG00000225710,0,0,0,0,0,0
ENSG00000266584,0,0,0,0,0,0
ENSG00000219481,2280,3307,3159,1474,3176,1778
ENSG00000186301,14,39,70,8,99,15
ENSG00000142632,574,697,611,721,346,636
ENSG00000204377,20,20,30,16,9,6
ENSG00000132881,54,129,104,163,97,63
ENSG00000233929,8,1,3,9,9,8
ENSG00000037637,794,1023,1035,1105,1001,839
ENSG00000226029,5,19,0,17,57,20
ENSG00000206652,65,1,2,24,32,3
ENSG00000261135,18,29,22,9,9,3
ENSG00000224174,3,3,0,0,0,0
ENSG00000271732,3,9,16,0,0,2
ENSG00000215908,207,352,323,449,592,431
ENSG00000207513,65,1,3,24,32,3
ENSG00000117115,35,104,68,118,61,238
ENSG00000117118,2407,3349,3383,3820,2843,2771
ENSG00000252180,0,0,0,0,0,0
ENSG00000204362,0,0,0,74,231,132
ENSG00000142623,10,0,5,307,309,530
ENSG00000142619,0,0,3,3419,2415,4875
ENSG00000266634,0,0,0,5,4,13
ENSG00000159339,0,0,0,6,0,0
ENSG00000269468,0,0,0,0,0,0
ENSG00000256049,0,0,0,0,0,0
ENSG00000117148,15,37,33,0,0,0
ENSG00000179023,5,6,16,7,0,12
ENSG00000230035,0,0,0,0,0,0
ENSG00000117154,74,104,204,0,0,0
ENSG00000227751,0,0,0,0,0,0
ENSG00000179051,4623,7980,7213,13159,9697,9080
ENSG00000239020,0,0,0,0,0,0
ENSG00000074964,239,413,342,424,483,471
ENSG00000266727,1,1,1,1,1,1
ENSG00000179002,0,0,0,0,0,0
ENSG00000255275,0,0,0,0,0,16
ENSG00000159423,2185,1780,1978,3240,3849,2825
ENSG00000265606,0,0,0,0,0,0
ENSG00000221662,0,0,0,2,0,1
ENSG00000169991,320,465,368,5621,4289,4584
ENSG00000162482,23,26,44,17,9,18
ENSG00000053371,709,1112,940,1741,1354,1235
ENSG00000270728,10,32,36,0,23,11
ENSG00000200403,2,1,3,0,1,2
ENSG00000040487,253,283,259,566,483,591
ENSG00000265192,0,0,0,0,0,0
ENSG00000127481,3415,6342,5701,6585,12703,8224
ENSG00000266098,0,2,2,1,3,1
ENSG00000230424,0,0,1,0,2,4
ENSG00000127463,1737,2731,2585,6291,6253,4995
ENSG00000211454,98,114,98,0,14,7
